"RowIndex","Prediction"
1,1.04190611454277
2,1.04190611454277
3,1.63013596396415
4,-3.85567054699958
5,1.04190611454277
6,5.86999071944592
7,-2.46011109979236
8,-0.880644064283126
9,-2.16145105979714
10,7.50157497027731
11,-9.39578982519838
12,3.40236677984112
13,1.71006418604353
14,2.19620580664057
15,-5.58698188178906
16,4.19142129953661
17,6.31096425221475
18,-0.525206485301012
19,-7.51247828295857
20,3.75462734277502
21,8.98007558983268
22,5.78408077168982
23,-1.84034706633567
24,6.90532952762539
25,-6.89258892999655
26,-4.1857244909086
27,-0.72418714326135
28,2.3833500699514
29,3.54877546796106
30,-1.35643442999292
31,4.21668176776014
32,5.27926602776814
33,-9.84845833870099
34,4.21276155253208
35,1.50867062447618
36,3.28721035171231
37,2.54227388077028
38,4.72056276626498
39,-1.090088735924
40,2.28241535894902
41,5.11843292547655
42,-11.7904049315698
43,-9.03366223277322
44,15.7790806996709
45,1.0513775235916
46,14.4746026069421
47,14.952246938536
48,0.334674641737073
49,-15.2542083212725
50,-1.5013802851451
51,-12.6285905455335
52,-3.36802369971821
53,18.2098087198164
54,4.49577621734487
55,-8.78649608152563
56,-2.30608950585768
57,-6.90864558614714
58,8.43992229554363
59,3.91509147997014
60,9.68979022737957
61,5.40659024793006
62,-8.13751081886276
63,0.105063041387286
64,-2.84396945167967
65,-0.750657516481338
66,5.23286948461358
67,1.91817542627494
68,-3.13538925041995
69,-7.30507946527346
70,-6.86702815208365
71,3.79589525307227
72,-0.8079157508818
73,17.7004991448599
74,4.62667456165503
75,8.807796462507
76,-9.44308967892679
77,-4.40901017800274
78,14.7866218465839
79,-9.0370372436016
80,4.29111466187128
81,0.811782068564303
82,9.74968200993351
83,-1.18455307056287
84,6.36614297771299
85,-14.3070661287494
86,-9.20016461929476
87,1.30819008166121
88,1.76943499647867
89,-8.00278662210835
90,9.16326034334539
91,6.24457263415742
92,10.879104743417
93,-2.54789631239892
94,-2.88980984240838
95,0.340384820420823
96,-11.2056156956425
97,-3.95858435240596
98,-11.2219603037196
99,12.2566174084719
100,-2.78633484199924
101,8.61561630145702
102,9.77603507246797
103,-1.21556454145573
104,5.10872407875399
105,-3.61570593120965
106,3.25353919218688
107,3.28815902762019
108,-6.44406381322456
109,9.5965904926636
110,-6.73607318978833
111,7.085717161298
112,-7.29733960157701
113,-1.26940576074089
114,1.48439208904582
115,2.20191351720351
116,-2.80544863731644
117,-3.09689253786259
118,4.21344251441955
119,-3.95068468965829
120,-6.79834341283349
121,4.93462119914499
122,-3.40740847198124
